video_key,course_id,module_title,wave,technical_first_file,expected_master,status,bunny_collection,bunny_library_id,bunny_video_id,thumbnail_status,transcript_status,access_policy,published
"gratis-1","gratis-inngang","Drypp 1: Når det ikke handler om vilje","1","True","gratis-1--v01--master.mp4","source-missing","depoet-gratis","","","missing","script-ready","signed-public","False"
"gratis-2","gratis-inngang","Drypp 2: Noen ganger begynner det i deg","1","False","gratis-2--v01--master.mp4","source-missing","depoet-gratis","","","missing","script-ready","signed-public","False"
"gratis-3","gratis-inngang","Drypp 3: Når det glipper","1","False","gratis-3--v01--master.mp4","source-missing","depoet-gratis","","","missing","script-ready","signed-public","False"
"start-1","startkurs","Modul 1: Din egen beredskapskropp","1","False","start-1--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"start-2","startkurs","Modul 2: Det lille sekundet","1","False","start-2--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"start-3","startkurs","Modul 3: Lånte bremser","1","False","start-3--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"start-4","startkurs","Modul 4: Når dine egne bremser er slitne","1","False","start-4--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"start-5","startkurs","Modul 5: Reparasjon","1","False","start-5--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"hoved-1","førersetet-hoved","Modul 1: Blikket – kapasitet før vilje","1","True","hoved-1--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"hoved-2","førersetet-hoved","Modul 2: Føreren – din egen beredskapskropp","1","False","hoved-2--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"hoved-3","førersetet-hoved","Modul 3: Lånte bremser – samregulering","1","False","hoved-3--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"hoved-4","førersetet-hoved","Modul 4: Autovern – struktur som omsorg","1","False","hoved-4--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"hoved-5","førersetet-hoved","Modul 5: Krasj og reparasjon – V.A.R.M.","1","False","hoved-5--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"hoved-6","førersetet-hoved","Modul 6: Motorveien og trafikkdirigenten – skole og system","1","False","hoved-6--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"hoved-7","førersetet-hoved","Modul 7: De mørke veikryssene","1","False","hoved-7--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"hoved-8","førersetet-hoved","Modul 8: Kjørestilen – det lange løpet","1","False","hoved-8--v01--master.mp4","source-missing","depoet-forste-pakke","","","missing","script-ready","signed-entitlement","False"
"skjerm-1","skjerm-uten-krig","Modul 1: Hvorfor det smeller","later","False","skjerm-1--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"skjerm-2","skjerm-uten-krig","Modul 2: Bygg broen, hold grensen","later","False","skjerm-2--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"smeller-1","minikurs-naar-det-smeller","Modul 1: V.A.R.M. i krasjet","later","False","smeller-1--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"smeller-2","minikurs-naar-det-smeller","Modul 2: Reparasjon etterpå","later","False","smeller-2--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
